Name	Total Larvae	Calculated Larvae	%_Initial Calculated	Composite Larvae	%_Initial_Composite	Average Larvae	%_Initial_Average	Seeded	%_Initial_Seeded	Block	Treatment	Time
CS.B6.T04.J12	60	22964	20.58628418	NA	21.0095301	NA	18.69144679	NA	24.56042781	6	CASE	4
CS.B6.T12.J01	96.5	36837.26667	41.06718692	NA	36.10808397	NA	29.98353117	NA	39.39814617	6	CASE	12
CS.B6.T12.J02	202	77110.13333	65.09931054	NA	69.09338179	NA	62.76345384	NA	82.47073084	6	CON	12
CS.B6.T12.J03	66.5	25385.26667	19.88661705	NA	22.13777767	NA	20.66222614	NA	27.15001783	6	SE	12
CS.B6.T12.J04	116.5	44471.93333	34.8389607	NA	38.78272329	NA	36.19773452	NA	47.56356506	6	SE	12
CS.B6.T12.J05	139	53060.93333	38.61083015	NA	44.99443162	NA	43.18871329	NA	56.74966132	6	CA	12
CS.B6.T12.J06	202.5	77301	63.41345365	NA	68.5579562	NA	62.91880893	NA	82.67486631	6	CON	12
CS.B6.T12.J07	73	27866.53333	24.11121206	NA	25.18565977	NA	22.68184223	NA	29.80377897	6	CASE	12
CS.B6.T12.J08	145.5	55542.2	61.52556079	NA	54.34066746	NA	45.20832938	NA	59.40342246	6	CA	12
CS.B6.T12.J09	109	41608.93333	19.29689662	NA	28.89620742	NA	33.86740826	NA	44.50153298	6	SE	12
CS.B6.T12.J10	135.5	51724.86667	49.15644254	NA	48.25330915	NA	42.1012277	NA	55.32071301	6	CA	12
CS.B6.T12.J11	128	48861.86667	43.13561392	NA	44.46928911	NA	39.77090144	NA	52.25868093	6	CON	12
CS.B6.T12.J12	60.5	23094.86667	20.70360078	NA	21.12925869	NA	18.79796514	NA	24.70039216	6	CASE	12
CS.B6.T24.J01	138	38511.2	42.93333333	NA	37.74888229	NA	31.34602184	NA	41.1884492	6	CASE	24
CS.B6.T24.J02	307	85673.46667	72.32880259	NA	76.76642855	NA	69.73354134	NA	91.62937611	6	CON	24
CS.B6.T24.J03	165	46046	36.07207207	NA	40.15542259	NA	37.47893916	NA	49.24705882	6	SE	24
CS.B6.T24.J04	177	49394.8	38.6954955	NA	43.07581696	NA	40.20468019	NA	52.8286631	6	SE	24
CS.B6.T24.J05	244	68092.26667	49.54867503	NA	57.74065106	NA	55.42340094	NA	72.82595365	6	CA	24
CS.B6.T24.J06	291	81208.4	66.61886792	NA	72.02341406	NA	66.09921997	NA	86.85390374	6	CON	24
CS.B6.T24.J07	141	39348.4	34.04577114	NA	35.56292428	NA	32.0274571	NA	42.08385027	6	CASE	24
CS.B6.T24.J08	335	93487.33333	103.5583864	NA	91.46494184	NA	76.09360374	NA	99.98645276	6	CA	24
CS.B6.T24.J09	136	37953.06667	17.60142222	NA	26.35731317	NA	30.89173167	NA	40.59151515	6	SE	24
CS.B6.T24.J10	320	89301.33333	84.86703097	NA	83.30779995	NA	72.68642746	NA	95.50944742	6	CA	24
CS.B6.T24.J11	302	84278.13333	74.40135364	NA	76.70170897	NA	68.59781591	NA	90.137041	6	CON	24
CS.B6.T24.J12	113	31534.53333	28.26941581	NA	28.8506239	NA	25.6673947	NA	33.72677362	6	CASE	24
CS.B10.T1.J05	119	76027.77778	100	101120.1595	100	110252.7006	100	117080	100	10	CA	0
CS.B10.T1.J08	160.5	102541.6667	100	109958.1224	100	110252.7006	100	117080	100	10	CA	0
CS.B10.T1.J11	208.3333333	133101.8518	100	120144.8508	100	110252.7006	100	117080	100	10	CA	0
CS.B10.T1.J01	192	122666.6667	100	116666.4558	100	110252.7006	100	117080	100	10	CASE	0
CS.B10.T1.J07	172.5	110208.3333	100	112513.678	100	110252.7006	100	117080	100	10	CASE	0
CS.B10.T1.J12	191	122027.7778	100	116453.4928	100	110252.7006	100	117080	100	10	CASE	0
CS.B10.T1.J02	154	98388.88889	100	108573.8632	100	110252.7006	100	117080	100	10	CON	0
CS.B10.T1.J06	158	100944.4444	100	109425.715	100	110252.7006	100	117080	100	10	CON	0
CS.B10.T1.J10	202	129055.5556	100	118796.0854	100	110252.7006	100	117080	100	10	CON	0
CS.B10.T1.J03	134	85611.11111	100	104314.6039	100	110252.7006	100	117080	100	10	SE	0
CS.B10.T1.J04	203.5	130013.8889	100	119115.5298	100	110252.7006	100	117080	100	10	SE	0
CS.B10.T1.J09	176	112444.4444	100	113259.0484	100	110252.7006	100	117080	100	10	SE	0
CS.B10.T12.J05	77	29470.46667	38.76276215	NA	29.14400731	NA	26.72992725	NA	25.17122196	10	CA	12
CS.B10.T12.J08	106	40569.73333	39.56414466	NA	36.89562211	NA	36.79704271	NA	34.65129256	10	CA	12
CS.B10.T12.J11	71	27174.06667	20.41599444	NA	22.61775389	NA	24.64707578	NA	23.20982804	10	CA	12
CS.B10.T12.J01	81	31001.4	25.27288043	NA	26.57267661	NA	28.1184949	NA	26.4788179	10	CASE	12
CS.B10.T12.J07	93	35594.2	32.29719471	NA	31.63544259	NA	32.28419785	NA	30.40160574	10	CASE	12
CS.B10.T12.J12	60	22964	18.81866606	NA	19.71946006	NA	20.82851474	NA	19.61393919	10	CASE	12
CS.B10.T12.J02	81	31001.4	31.50904574	NA	28.55328078	NA	28.1184949	NA	26.4788179	10	CON	12
CS.B10.T12.J06	86	32915.06667	32.60711062	NA	30.07982782	NA	29.85420446	NA	28.11331283	10	CON	12
CS.B10.T12.J10	100.5	38464.7	29.80476108	NA	32.37876052	NA	34.88776219	NA	32.85334814	10	CON	12
CS.B10.T12.J03	75	28705	33.52952628	NA	27.5177194	NA	26.03564343	NA	24.51742398	10	SE	12
CS.B10.T12.J04	56.5	21624.43333	16.63240252	NA	18.15416794	NA	19.61351805	NA	18.46979273	10	SE	12
CS.B10.T12.J09	92	35211.46667	31.31454545	NA	31.08931885	NA	31.93705594	NA	30.07470675	10	SE	12
CS.B10.T24.J05	77.5	21705.16667	73.65056995	NA	21.46472749	NA	19.68674377	NA	18.53874843	10	CA	24
CS.B10.T24.J08	84	23525.6	57.98805678	NA	21.3950543	NA	21.33789002	NA	20.09361121	10	CA	24
CS.B10.T24.J11	52.33333333	14656.82222	53.93680085	NA	12.19929287	NA	13.29384418	NA	12.51863873	10	CA	24
CS.B10.T24.J01	51	14283.4	46.07340314	NA	12.24293642	NA	12.95514751	NA	12.19969252	10	CASE	24
CS.B10.T24.J07	63	17644.2	49.57043563	NA	15.6818267	NA	16.00341751	NA	15.0702084	10	CASE	24
CS.B10.T24.J12	65.5	18344.36667	79.88315044	NA	15.75252594	NA	16.63847376	NA	15.66823255	10	CASE	24
CS.B10.T24.J02	60	16804	54.20400369	NA	15.47702137	NA	15.24135001	NA	14.35257943	10	CON	24
CS.B10.T24.J06	65	17771	53.99047245	NA	16.24024115	NA	16.11842603	NA	15.17851042	10	CON	24
CS.B10.T24.J10	124	34728.26667	90.28607182	NA	29.23351098	NA	31.49879003	NA	29.66199749	10	CON	24
CS.B10.T24.J03	33	9242.2	32.19717819	NA	8.859929151	NA	8.382742507	NA	7.893918688	10	SE	24
CS.B10.T24.J04	54	15123.6	69.9375552	NA	12.69658123	NA	13.71721501	NA	12.91732149	10	SE	24
CS.B10.T24.J09	68.5	19184.56667	54.48386132	NA	16.93866137	NA	17.40054127	NA	16.38586152	10	SE	24
CS.B11.T1.J01	149	94504.81481	100	11	SE	0						
CS.B11.T1.J02	90.5	82046.48148	100	11	CON	0						
CS.B11.T1.J03	105	85134.44444	100	11	CASE	0						
CS.B11.T1.J04	104	84921.48148	100	11	SE	0						
CS.B11.T1.J05	101	84282.59259	100	11	CON	0						
CS.B11.T1.J06	114	87051.11111	100	11	CA	0						
CS.B11.T1.J07	126	89606.66667	100	11	SE	0						
CS.B11.T1.J08	134	91310.37037	100	11	CA	0						
CS.B11.T1.J09	94	82791.85185	100	11	CASE	0						
CS.B11.T1.J10	126.6666667	89748.64198	100	11	CON	0						
CS.B11.T1.J11	83.5	80555.74074	100	11	CA	0						
CS.B11.T1.J12	103	84708.51852	100	11	CASE	0						
CS.B11.T12.J01	77	29470.46667	31.18409017	11	SE	12						
CS.B11.T12.J02	80	30618.66667	37.3186834	11	CON	12						
CS.B11.T12.J03	83	31766.86667	37.31376516	11	CASE	12						
CS.B11.T12.J04	82.5	31575.5	37.18199382	11	SE	12						
CS.B11.T12.J05	66	25260.4	29.97107614	11	CON	12						
CS.B11.T12.J06	94	35976.93333	41.32851709	11	CA	12						
CS.B11.T12.J07	119	45545.26667	50.82798899	11	SE	12						
CS.B11.T12.J08	101.5	38847.43333	42.54438261	11	CA	12						
CS.B11.T12.J09	65	24877.66667	30.04844814	11	CASE	12						
CS.B11.T12.J10	101	38656.06667	43.07147809	11	CON	12						
CS.B11.T12.J11	111	42483.4	52.73789256	11	CA	12						
CS.B11.T12.J12	87	33297.8	39.30867944	11	CASE	12						
CS.B11.T24.J01	58	16243.86667	17.18840114	11	SE	24						
CS.B11.T24.J02	40	11202.66667	13.65404886	11	CON	24						
CS.B11.T24.J03	56	15683.73333	18.42231242	11	CASE	24						
CS.B11.T24.J04	49	13723.26667	16.15994732	11	SE	24						
CS.B11.T24.J05	73.5	20584.9	24.42366729	11	CON	24						
CS.B11.T24.J06	65.66666667	18391.04445	21.12671994	11	CA	24						
CS.B11.T24.J07	65	18204.33333	20.31582472	11	SE	24						
CS.B11.T24.J08	54	15123.6	16.56285035	11	CA	24						
CS.B11.T24.J09	51	14283.4	17.25218084	11	CASE	24						
CS.B11.T24.J10	109	30527.26667	34.01418227	11	CON	24						
CS.B11.T24.J11	62	17364.13333	21.55542631	11	CA	24						
CS.B11.T24.J12	51	14283.4	16.86182246	11	CASE	24						
CS.B12.T1.J05	184	112981.9102	100	12	CA	0						
CS.B12.T1.J07	190	114259.6879	100	12	CA	0						
CS.B12.T1.J11	180.5	112236.5398	100	12	CA	0						
CS.B12.T1.J03	116	98500.42867	100	12	CASE	0						
CS.B12.T1.J04	138.5	103292.0953	100	12	CASE	0						
CS.B12.T1.J06	153	106380.0583	100	12	CASE	0						
CS.B12.T1.J02		110695.0874	100	12	CON	0						
CS.B12.T1.J08	157	107231.9102	100	12	CON	0						
CS.B12.T1.J10	148	105315.2435	100	12	CON	0						
CS.B12.T1.J01		110695.0874	100	12	SE	0						
CS.B12.T1.J09	190.3333333	114330.6756	100	12	SE	0						
CS.B12.T1.J12	202.5	116921.725	100	12	SE	0						
CS.B12.T12.J05	68.5	26217.23333	0.232048062	12	CA	12						
CS.B12.T12.J07	45	17223	0.150735577	12	CA	12						
CS.B12.T12.J11	68	26025.86667	0.231884079	12	CA	12						
CS.B12.T12.J03	52.5	20093.5	0.203994036	12	CASE	12						
CS.B12.T12.J04	79	30235.93333	0.292722625	12	CASE	12						
CS.B12.T12.J06	60	22964	0.215867526	12	CASE	12						
CS.B12.T12.J02	36	13778.4	0.124471648	12	CON	12						
CS.B12.T12.J08	85	32532.33333	0.303382951	12	CON	12						
CS.B12.T12.J10	67.5	25834.5	0.245306369	12	CON	12						
CS.B12.T12.J01	71.5	27365.43333	0.247214524	12	SE	12						
CS.B12.T12.J09	59	22581.26667	0.197508381	12	SE	12						
CS.B12.T12.J12	31	11864.73333	0.101475866	12	SE	12						
CS.B12.T24.J05	88.5	24785.9	0.219379368	12	CA	24						
CS.B12.T24.J07	56.5	15823.76667	0.138489497	12	CA	24						
CS.B12.T24.J11	113	31647.53333	0.281971748	12	CA	24						
CS.B12.T24.J03	76.5	21425.1	0.217512759	12	CASE	24						
CS.B12.T24.J04	81.33333333	22778.75556	0.220527577	12	CASE	24						
CS.B12.T24.J06	61	17084.06667	0.160594635	12	CASE	24						
CS.B12.T24.J02	103	28846.86667	0.260597533	12	CON	24						
CS.B12.T24.J08	99	27726.6	0.258566689	12	CON	24						
CS.B12.T24.J10	120	33608	0.319118096	12	CON	24						
CS.B12.T24.J01	71.5	20024.76667	0.180900229	12	SE	24						
CS.B12.T24.J09	72.5	20304.83333	0.177597423	12	SE	24						
CS.B12.T24.J12	116	32487.73333	0.277858827	12	SE	24						
